Country,Year,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
Afghanistan,2015,Developing,65.0,263,62,0.01,71.27962362,65.0,1154,19.1,83,6,8.16,65,0.1,584.25921,33736494.0,17.2,17.3,0.479,10.1
Afghanistan,2014,Developing,59.9,271,64,0.01,73.52358168,62.0,492,18.6,86,58,8.18,62,0.1,612.696514,327582.0,17.5,17.5,0.476,10.0
Afghanistan,2013,Developing,59.9,268,66,0.01,73.21924272,64.0,430,18.1,89,62,8.13,64,0.1,631.744976,31731688.0,17.7,17.7,0.47,9.9
Afghanistan,2012,Developing,59.5,272,69,0.01,78.1842153,67.0,2787,17.6,93,67,8.52,67,0.1,669.959,3696958.0,17.9,18.0,0.463,9.8
Afghanistan,2011,Developing,59.2,275,71,0.01,7.097108703,68.0,3013,17.2,97,68,7.87,68,0.1,63.537231,2978599.0,18.2,18.2,0.454,9.5
Afghanistan,2010,Developing,58.8,279,74,0.01,79.67936736,66.0,1989,16.7,102,66,9.2,66,0.1,553.32894,2883167.0,18.4,18.4,0.448,9.2
Afghanistan,2009,Developing,58.6,281,77,0.01,56.76221682,63.0,2861,16.2,106,63,9.42,63,0.1,445.8932979,284331.0,18.6,18.7,0.434,8.9
Afghanistan,2008,Developing,58.1,287,80,0.03,25.87392536,64.0,1599,15.7,110,64,8.33,64,0.1,373.3611163,2729431.0,18.8,18.9,0.433,8.7
Afghanistan,2007,Developing,57.5,295,82,0.02,10.91015598,63.0,1141,15.2,113,63,6.73,63,0.1,369.835796,26616792.0,19.0,19.1,0.415,8.4
Afghanistan,2006,Developing,57.3,295,84,0.03,17.17151751,64.0,1990,14.7,116,58,7.43,58,0.1,272.56377,2589345.0,19.2,19.3,0.405,8.1
Afghanistan,2005,Developing,57.3,291,85,0.02,1.388647732,66.0,1296,14.2,118,58,8.7,58,0.1,25.2941299,257798.0,19.3,19.5,0.396,7.9
Afghanistan,2004,Developing,57.0,293,87,0.02,15.29606643,67.0,466,13.8,120,5,8.79,5,0.1,219.1413528,24118979.0,19.5,19.7,0.381,6.8
Afghanistan,2003,Developing,56.7,295,87,0.01,11.08905273,65.0,798,13.4,122,41,8.82,41,0.1,198.7285436,2364851.0,19.7,19.9,0.373,6.5
Afghanistan,2002,Developing,56.2,3,88,0.01,16.88735091,64.0,2486,13.0,122,36,7.76,36,0.1,187.84595,21979923.0,19.9,2.2,0.341,6.2
Afghanistan,2001,Developing,55.3,316,88,0.01,10.5747282,63.0,8762,12.6,122,35,7.8,33,0.1,117.49698,2966463.0,2.1,2.4,0.34,5.9
Afghanistan,2000,Developing,54.8,321,88,0.01,10.42496,62.0,6532,12.2,122,24,8.2,24,0.1,114.56,293756.0,2.3,2.5,0.338,5.5
Albania,2015,Developing,77.8,74,0,4.6,364.9752287,99.0,0,58.0,0,99,6.0,99,0.1,3954.22783,28873.0,1.2,1.3,0.762,14.2
Albania,2014,Developing,77.5,8,0,4.51,428.7490668,98.0,0,57.2,1,98,5.88,98,0.1,4575.763787,288914.0,1.2,1.3,0.761,14.2
Albania,2013,Developing,77.2,84,0,4.76,430.8769785,99.0,0,56.5,1,99,5.66,99,0.1,4414.72314,289592.0,1.3,1.4,0.759,14.2
Albania,2012,Developing,76.9,86,0,5.14,412.4433563,99.0,9,55.8,1,99,5.59,99,0.1,4247.61438,2941.0,1.3,1.4,0.752,14.2
Albania,2011,Developing,76.6,88,0,5.37,437.0621,99.0,28,55.1,1,99,5.71,99,0.1,4437.17868,295195.0,1.4,1.5,0.738,13.3
Albania,2010,Developing,76.2,91,1,5.28,41.82275719,99.0,10,54.3,1,99,5.34,99,0.1,494.358832,291321.0,1.4,1.5,0.725,12.5
Albania,2009,Developing,76.1,91,1,5.79,348.0559517,98.0,0,53.5,1,98,5.79,98,0.1,4114.136545,2927519.0,1.5,1.6,0.721,12.2
Albania,2008,Developing,75.3,1,1,5.61,36.62206845,99.0,0,52.6,1,99,5.87,99,0.1,437.539647,2947314.0,1.6,1.6,0.713,12.0
Albania,2007,Developing,75.9,9,1,5.58,32.24655228,98.0,22,51.7,1,99,6.1,98,0.1,363.13685,29717.0,1.6,1.7,0.703,11.6
Albania,2006,Developing,74.2,99,1,5.31,3.3021542,98.0,68,5.8,1,97,5.86,97,0.1,35.1293,2992547.0,1.7,1.8,0.696,11.4
Albania,2005,Developing,73.5,15,1,5.16,26.99312143,98.0,6,49.9,1,97,6.12,98,0.1,279.142931,311487.0,1.8,1.8,0.685,10.8
Albania,2004,Developing,73.0,17,1,4.54,221.8428,99.0,7,48.9,1,98,6.38,97,0.1,2416.588235,326939.0,1.8,1.9,0.681,10.9
Albania,2003,Developing,72.8,18,1,4.29,14.71928882,97.0,8,47.9,1,97,6.27,97,0.1,189.681557,339616.0,1.9,2.0,0.674,10.7
Albania,2002,Developing,73.3,15,1,3.73,104.5169157,96.0,16,46.9,1,98,6.3,98,0.1,1453.642777,3511.0,2.0,2.1,0.67,10.7
Albania,2001,Developing,73.6,14,1,4.25,96.20557078,96.0,18,46.0,1,97,6.0,97,0.1,1326.97339,36173.0,2.1,2.1,0.662,10.6
Albania,2000,Developing,72.6,11,1,3.66,91.71154052,96.0,662,45.0,1,97,6.26,97,0.1,1175.788981,38927.0,2.1,2.2,0.656,10.7
Algeria,2015,Developing,75.6,19,21,,0.0,95.0,63,59.5,24,95,,95,0.1,4132.76292,39871528.0,6.0,5.8,0.743,14.4
Algeria,2014,Developing,75.4,11,21,0.01,54.2373183,95.0,0,58.4,24,95,7.21,95,0.1,547.8517,39113313.0,6.0,5.8,0.741,14.4
Algeria,2013,Developing,75.3,112,21,0.53,544.4507432,95.0,25,57.2,24,95,7.12,95,0.1,5471.866766,38338562.0,5.9,5.8,0.737,14.4
Algeria,2012,Developing,75.1,113,21,0.66,555.9260834,95.0,18,56.1,24,95,6.14,95,0.1,5564.82566,37565847.0,5.9,5.8,0.732,14.4
Algeria,2011,Developing,74.9,116,21,0.56,509.0020405,95.0,112,55.0,24,95,5.29,95,0.1,5432.2523,36819558.0,5.9,5.8,0.724,14.0
Algeria,2010,Developing,74.7,119,21,0.45,430.7175861,95.0,103,53.9,24,95,5.12,95,0.1,4463.394675,36117637.0,5.9,5.8,0.714,13.6
Algeria,2009,Developing,74.4,123,20,0.5,352.0636419,94.0,107,52.8,23,94,5.36,95,0.1,3868.83123,3546576.0,6.0,5.9,0.705,13.1
Algeria,2008,Developing,74.1,126,20,0.46,43.08717334,91.0,217,51.8,23,92,4.2,93,0.1,495.254866,3486715.0,6.0,5.9,0.697,12.6
Algeria,2007,Developing,73.8,129,20,0.44,320.3239241,9.0,0,5.8,23,95,3.82,95,0.1,3935.183343,34376.0,6.0,5.9,0.69,12.3
Algeria,2006,Developing,73.4,132,20,0.36,270.2401962,8.0,944,49.8,23,95,3.36,95,0.1,3464.6179,33777915.0,6.1,6.0,0.686,12.3
Algeria,2005,Developing,72.9,136,19,0.5,2.548922758,83.0,2302,48.9,22,88,3.24,88,0.1,31.122378,33288437.0,6.1,6.0,0.68,12.0
Algeria,2004,Developing,72.3,14,19,0.45,220.393699,81.0,3289,47.9,23,86,3.54,86,0.1,2598.9823,3283196.0,6.2,6.1,0.673,11.7
Algeria,2003,Developing,71.7,146,20,0.34,25.0185226,,15374,47.0,23,87,3.6,87,0.1,294.33556,3243514.0,6.3,6.1,0.663,11.5
Algeria,2002,Developing,71.6,145,20,0.36,148.5119843,,5862,46.1,23,86,3.73,86,0.1,1774.33673,3199546.0,6.3,6.2,0.653,11.1
Algeria,2001,Developing,71.4,145,20,0.23,147.9860714,,2686,45.3,24,89,3.84,89,0.1,1732.857979,31592153.0,6.4,6.3,0.644,10.9
Algeria,2000,Developing,71.3,145,21,0.25,154.4559436,,0,44.4,25,86,3.49,86,0.1,1757.17797,3118366.0,6.5,6.4,0.636,10.7
Angola,2015,Developing,52.4,335,66,,0.0,64.0,118,23.3,98,7,,64,1.9,3695.793748,2785935.0,8.3,8.2,0.531,11.4
Angola,2014,Developing,51.7,348,67,8.33,23.965612,64.0,11699,22.7,101,68,3.31,64,2.0,479.31224,2692466.0,8.5,8.3,0.527,11.4
Angola,2013,Developing,51.1,355,69,8.1,35.95857279,77.0,8523,22.1,105,67,4.26,77,2.3,484.616884,2599834.0,8.6,8.5,0.523,11.4
Angola,2012,Developing,56.0,358,72,8.24,256.1225243,75.0,4458,21.5,110,75,3.3,75,2.6,4598.249988,259615.0,8.8,8.6,0.508,10.3
Angola,2011,Developing,51.0,361,75,8.06,239.8913921,72.0,1449,21.0,115,73,3.38,71,2.5,4299.12889,24218565.0,8.9,8.8,0.495,9.4
Angola,2010,Developing,49.6,365,78,7.8,191.6537407,77.0,1190,2.4,121,81,3.39,77,2.5,3529.53482,23369131.0,9.1,9.0,0.488,9.0
Angola,2009,Developing,49.1,369,81,7.01,212.9229325,61.0,2807,19.8,127,63,4.37,6,2.5,3347.84485,22549547.0,9.3,9.2,0.48,8.5
Angola,2008,Developing,48.7,371,84,7.07,249.9101958,69.0,265,19.3,133,65,3.84,69,2.6,3868.578883,2175942.0,9.5,9.4,0.468,8.1
Angola,2007,Developing,48.2,375,87,6.35,184.8213446,73.0,1014,18.8,138,75,3.38,73,2.6,2878.837144,2997687.0,9.6,9.6,0.454,7.7
Angola,2006,Developing,47.7,381,90,5.84,25.08688824,,765,18.2,143,36,4.54,34,2.5,262.415149,2262399.0,9.8,9.7,0.439,7.2
Angola,2005,Developing,47.4,382,92,5.04,98.19145117,,258,17.7,148,39,4.1,38,2.6,1443.991929,19552542.0,1.0,9.9,0.426,6.8
Angola,2004,Developing,47.1,386,94,3.53,8.8667775,,29,17.2,152,4,4.71,4,2.5,141.86844,18865716.0,1.2,1.1,0.415,6.4
Angola,2003,Developing,46.8,388,95,3.49,35.93349121,,1196,16.8,155,4,4.41,4,2.4,779.468356,1823369.0,1.4,1.3,0.406,5.9
Angola,2002,Developing,46.5,391,96,2.82,24.037942,,11945,16.3,157,37,3.63,41,2.3,711.181716,17572649.0,1.5,1.5,0.401,5.5
Angola,2001,Developing,45.7,44,97,2.58,30.35993647,,9046,15.8,159,41,5.38,38,2.1,526.168743,16983266.0,1.7,1.7,0.391,5.1
Angola,2000,Developing,45.3,48,97,1.85,15.88149254,,2219,15.4,160,3,2.79,28,2.0,555.2969419,1644924.0,1.9,1.9,0.382,4.6
Antigua and Barbuda,2015,Developing,76.4,13,0,,0.0,99.0,0,47.7,0,86,,99,0.2,13566.9541,,3.3,3.3,0.784,13.9
Antigua and Barbuda,2014,Developing,76.2,131,0,8.56,2422.999774,99.0,0,47.0,0,96,5.54,99,0.2,12888.29667,,3.3,3.3,0.782,13.9
Antigua and Barbuda,2013,Developing,76.1,133,0,8.58,1991.430372,99.0,0,46.4,0,98,5.33,99,0.2,12224.86416,,3.3,3.3,0.781,13.9
Antigua and Barbuda,2012,Developing,75.9,134,0,8.18,2156.229842,98.0,0,45.7,0,97,5.39,98,0.2,12565.44197,,3.3,3.3,0.778,13.8
Antigua and Barbuda,2011,Developing,75.7,136,0,7.84,1810.875316,99.0,0,45.1,0,99,5.65,99,0.1,11929.34991,,3.3,3.3,0.782,14.1
Antigua and Barbuda,2010,Developing,75.6,138,0,7.84,1983.956937,98.0,0,44.4,0,99,5.63,98,0.1,12126.87614,,3.3,3.3,0.783,14.1
Antigua and Barbuda,2009,Developing,75.4,14,0,7.82,149.3587355,98.0,0,43.8,0,98,4.86,99,0.1,1312.46692,,3.4,3.3,0.788,14.2
Antigua and Barbuda,2008,Developing,75.2,142,0,8.27,180.7762695,98.0,0,43.2,0,99,4.69,99,0.1,1473.31923,,3.4,3.3,0.786,14.4
Antigua and Barbuda,2007,Developing,75.0,144,0,8.64,257.9665308,97.0,0,42.6,0,98,4.27,99,0.1,14252.29452,,3.4,3.3,0.781,14.5
Antigua and Barbuda,2006,Developing,74.8,145,0,8.93,216.3146941,99.0,0,42.0,0,99,4.34,99,0.1,12724.39377,,3.4,3.4,0.773,14.7
Antigua and Barbuda,2005,Developing,74.6,147,0,8.15,1455.608186,99.0,0,41.4,0,98,4.41,99,0.1,11371.93895,,3.5,3.4,0.0,0.0
Antigua and Barbuda,2004,Developing,74.4,149,0,7.28,22.86295206,97.0,0,4.8,0,97,4.21,97,0.1,1352.8374,,3.5,3.4,0.0,0.0
Antigua and Barbuda,2003,Developing,74.2,151,0,7.16,1158.065259,99.0,0,4.1,0,99,4.53,99,0.1,9739.82556,,3.5,3.5,0.0,0.0
Antigua and Barbuda,2002,Developing,74.0,153,0,7.21,927.4075855,99.0,0,39.5,0,93,4.41,98,0.1,9386.716452,,3.6,3.5,0.0,0.0
Antigua and Barbuda,2001,Developing,73.8,154,0,7.51,163.7676978,96.0,0,38.9,0,99,4.48,97,0.1,9358.154162,,3.6,3.5,0.0,0.0
Antigua and Barbuda,2000,Developing,73.6,156,0,7.27,1127.74347,,0,38.2,0,96,4.13,95,0.1,9875.161736,,3.7,3.6,0.0,0.0
Argentina,2015,Developing,76.3,116,8,,0.0,94.0,0,62.8,9,93,,94,0.1,13467.1236,43417765.0,1.0,0.9,0.826,17.3
Argentina,2014,Developing,76.2,118,8,7.93,847.3717463,94.0,1,62.2,9,92,4.79,94,0.1,12245.25645,42981515.0,1.0,0.9,0.825,17.3
Argentina,2013,Developing,76.0,119,8,8.28,1001.796332,94.0,0,61.6,10,99,4.99,94,0.1,12976.63642,42539925.0,1.0,0.9,0.823,17.3
Argentina,2012,Developing,75.9,12,9,8.35,1133.558003,91.0,2,61.0,10,99,5.2,91,0.1,12969.7712,4296739.0,1.0,0.9,0.822,17.2
Argentina,2011,Developing,75.7,12,9,8.11,1504.329462,91.0,3,6.4,10,93,5.89,91,0.1,12726.9836,41656879.0,1.0,0.9,0.816,17.1
Argentina,2010,Developing,75.5,121,10,8.15,187.610955,94.0,17,59.8,11,95,6.55,94,0.1,1276.265,41223889.0,1.0,0.9,0.802,16.8
Argentina,2009,Developing,75.6,126,10,8.33,1398.042623,94.0,3,59.2,11,97,7.63,94,0.1,8161.36966,479947.0,1.0,0.9,0.794,16.5
Argentina,2008,Developing,75.4,126,10,8.41,1413.73543,9.0,0,58.6,11,94,6.66,93,0.1,8953.359275,4382389.0,1.0,0.9,0.792,16.3
Argentina,2007,Developing,74.8,129,10,8.16,1105.659031,85.0,0,58.0,12,92,6.49,91,0.1,7193.61764,3997224.0,1.1,0.9,0.788,16.3
Argentina,2006,Developing,75.2,127,11,7.75,961.1774676,84.0,0,57.5,12,92,6.68,91,0.1,5878.76127,3955889.0,1.1,0.9,0.782,16.1
Argentina,2005,Developing,74.9,127,11,7.53,96.16653429,88.0,0,56.9,12,95,6.85,98,0.1,576.883829,39145488.0,1.1,1.0,0.78,16.3
Argentina,2004,Developing,74.7,13,11,7.63,719.3663797,81.0,0,56.3,12,91,6.84,98,0.1,4251.574348,38728696.0,1.1,1.0,0.775,16.3
Argentina,2003,Developing,74.1,137,11,7.62,57.58467352,73.0,0,55.7,13,95,8.22,96,0.1,333.4376,3839379.0,1.2,1.0,0.77,16.4
Argentina,2002,Developing,74.1,138,12,7.81,470.1869145,66.0,0,55.1,13,94,8.31,93,0.1,2579.193168,3788937.0,1.2,1.0,0.776,16.3
Argentina,2001,Developing,74.0,138,12,7.76,123.0128671,,0,54.6,13,85,9.38,83,0.1,717.694674,3747159.0,1.2,1.1,0.771,15.6
Argentina,2000,Developing,74.1,137,12,7.68,1349.025282,,6,54.0,14,88,9.21,83,0.1,7669.273916,3757452.0,1.2,1.1,0.764,15.0
Armenia,2015,Developing,74.8,118,1,,0.0,94.0,33,54.9,1,96,,94,0.1,369.654776,291695.0,2.1,2.2,0.741,12.7
Armenia,2014,Developing,74.6,12,1,3.91,295.6087143,93.0,13,54.1,1,95,4.48,93,0.1,3994.712355,29622.0,2.1,2.1,0.739,12.7
Armenia,2013,Developing,74.4,123,1,3.79,279.4290812,95.0,10,53.3,1,96,4.55,95,0.1,3843.591213,289359.0,2.1,2.1,0.736,12.7
Armenia,2012,Developing,74.4,121,1,3.89,274.1526986,95.0,0,52.6,1,96,4.48,95,0.1,3684.8481,2881922.0,2.0,2.1,0.732,12.7
